Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
5218,CA-2020-134635,15/04/20,17/04/20,Second Class,NS-18640,Noel Staavos,Corporate,Los Angeles,California,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,79.14,3,0,36.4044
5225,US-2020-109582,12/09/20,17/09/20,Second Class,JM-15865,John Murray,Consumer,Los Angeles,California,West,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",166.44,3,0,79.8912
5259,US-2020-115595,09/10/20,11/10/20,First Class,XP-21865,Xylona Preis,Consumer,Los Angeles,California,West,OFF-PA-10001745,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",35.2,5,0,16.544
5380,CA-2019-136021,14/08/19,18/08/19,Standard Class,JM-15580,Jill Matthias,Consumer,Los Angeles,California,West,OFF-PA-10000551,Office Supplies,Paper,Array Memo Cubes,15.54,3,0,7.6146
5507,US-2019-162026,08/10/19,08/10/19,Same Day,JE-15745,Joel Eaton,Consumer,Los Angeles,California,West,OFF-PA-10000167,Office Supplies,Paper,Xerox 1925,61.96,2,0,27.882
5581,CA-2020-137498,09/09/20,14/09/20,Second Class,LC-17050,Liz Carlisle,Consumer,Los Angeles,California,West,OFF-PA-10000143,Office Supplies,Paper,Astroparche Fine Business Paper,47.52,9,0,22.8096
6009,CA-2018-135580,30/12/18,03/01/19,Standard Class,CL-12565,Clay Ludtke,Consumer,Los Angeles,California,West,OFF-PA-10000595,Office Supplies,Paper,Xerox 1929,68.52,3,0,31.5192
6014,CA-2019-159016,10/03/19,11/03/19,First Class,KF-16285,Karen Ferguson,Home Office,Los Angeles,California,West,OFF-PA-10004405,Office Supplies,Paper,Rediform Voice Mail Log Books,14.9,5,0,7.152
6126,CA-2020-145772,03/06/20,07/06/20,Standard Class,SS-20140,Saphhira Shifley,Corporate,Los Angeles,California,West,OFF-PA-10001593,Office Supplies,Paper,Xerox 1947,11.96,2,0,5.382
6169,CA-2018-132815,19/09/18,22/09/18,Second Class,RW-19540,Rick Wilson,Corporate,Los Angeles,California,West,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,22.96,2,0,11.2504
6552,CA-2020-161578,16/12/20,21/12/20,Second Class,RB-19465,Rick Bensley,Home Office,Los Angeles,California,West,OFF-PA-10002986,Office Supplies,Paper,Xerox 1898,13.36,2,0,6.4128
6618,CA-2019-123512,17/06/19,19/06/19,First Class,MV-18190,Mike Vittorini,Consumer,Los Angeles,California,West,OFF-PA-10001497,Office Supplies,Paper,Xerox 1914,219.84,4,0,107.7216
6775,CA-2019-119018,04/11/19,08/11/19,Standard Class,CW-11905,Carl Weiss,Home Office,Los Angeles,California,West,OFF-PA-10000295,Office Supplies,Paper,Xerox 229,38.88,6,0,18.6624
6847,US-2019-159093,09/05/19,14/05/19,Standard Class,RS-19420,Ricardo Sperren,Corporate,Los Angeles,California,West,OFF-PA-10001260,Office Supplies,Paper,"TOPS Money Receipt Book, Consecutively Numbered in Red,",32.04,4,0,14.418
6858,CA-2020-128965,17/04/20,22/04/20,Standard Class,PS-18760,Pamela Stobb,Consumer,Los Angeles,California,West,OFF-PA-10004911,Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",28.14,3,0,13.5072
6870,US-2019-126452,21/08/19,28/08/19,Standard Class,SC-20230,Scot Coram,Corporate,Los Angeles,California,West,OFF-PA-10003848,Office Supplies,Paper,Xerox 1997,12.96,2,0,6.2208
6871,US-2019-126452,21/08/19,28/08/19,Standard Class,SC-20230,Scot Coram,Corporate,Los Angeles,California,West,OFF-PA-10002606,Office Supplies,Paper,Xerox 1928,47.52,9,0,21.384
6888,CA-2020-120222,25/04/20,02/05/20,Standard Class,LL-16840,Lauren Leatherbury,Consumer,Los Angeles,California,West,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
6980,CA-2020-149076,14/01/20,19/01/20,Standard Class,SO-20335,Sean O'Donnell,Consumer,Los Angeles,California,West,OFF-PA-10000483,Office Supplies,Paper,Xerox 19,154.9,5,0,69.705
7067,CA-2019-147473,30/05/19,03/06/19,Standard Class,NL-18310,Nancy Lomonaco,Home Office,Los Angeles,California,West,OFF-PA-10004782,Office Supplies,Paper,Xerox 228,38.88,6,0,18.6624
7159,CA-2019-131380,28/03/19,31/03/19,Second Class,CC-12220,Chris Cortes,Consumer,Los Angeles,California,West,OFF-PA-10001243,Office Supplies,Paper,Xerox 1983,5.98,1,0,2.9302
7361,CA-2019-163594,12/04/19,14/04/19,First Class,JF-15295,Jason Fortune-,Consumer,Los Angeles,California,West,OFF-PA-10000809,Office Supplies,Paper,Xerox 206,19.44,3,0,9.3312
7393,CA-2020-147844,02/05/20,06/05/20,Standard Class,DD-13570,Dorothy Dickinson,Consumer,Los Angeles,California,West,OFF-PA-10003016,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",15.7,5,0,7.065
7395,CA-2020-147844,02/05/20,06/05/20,Standard Class,DD-13570,Dorothy Dickinson,Consumer,Los Angeles,California,West,OFF-PA-10002713,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",34.4,5,0,15.824
7462,US-2018-136987,11/04/18,14/04/18,Second Class,AR-10540,Andy Reiter,Consumer,Los Angeles,California,West,OFF-PA-10003127,Office Supplies,Paper,Easy-staple paper,52.76,2,0,24.2696
7743,CA-2020-105326,20/08/20,27/08/20,Standard Class,KT-16480,Kean Thornton,Consumer,Los Angeles,California,West,OFF-PA-10001639,Office Supplies,Paper,Xerox 203,25.92,4,0,12.4416
7854,CA-2018-144890,25/12/18,29/12/18,Standard Class,SM-20320,Sean Miller,Home Office,Los Angeles,California,West,OFF-PA-10001526,Office Supplies,Paper,Xerox 1949,9.96,2,0,4.8804
7869,CA-2019-136994,27/05/19,02/06/19,Standard Class,LS-17245,Lynn Smith,Consumer,Los Angeles,California,West,OFF-PA-10000575,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",13.38,2,0,6.1548
7967,CA-2018-138219,23/03/18,30/03/18,Standard Class,BP-11095,Bart Pistole,Corporate,Los Angeles,California,West,OFF-PA-10000380,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",33.36,4,0,16.68
8118,US-2020-113201,30/06/20,05/07/20,Standard Class,TT-21220,Thomas Thornton,Consumer,Los Angeles,California,West,OFF-PA-10000675,Office Supplies,Paper,Xerox 1919,204.95,5,0,100.4255
8135,CA-2018-121776,16/02/18,21/02/18,Standard Class,RD-19585,Rob Dowd,Consumer,Los Angeles,California,West,OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,36.84,3,0,17.3148
8391,CA-2020-153227,04/12/20,06/12/20,First Class,CS-12250,Chris Selesnick,Corporate,Los Angeles,California,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11.76,2,0,5.7624
8404,CA-2019-154067,01/02/19,07/02/19,Standard Class,SM-20950,Suzanne McNair,Corporate,Los Angeles,California,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,105.52,4,0,48.5392
8480,US-2019-119270,12/03/19,16/03/19,Standard Class,SW-20245,Scot Wooten,Consumer,Los Angeles,California,West,OFF-PA-10004022,Office Supplies,Paper,Hammermill Color Copier Paper (28Lb. and 96 Bright),19.98,2,0,8.991
8670,CA-2018-158918,20/12/18,25/12/18,Second Class,AI-10855,Arianne Irving,Consumer,Los Angeles,California,West,OFF-PA-10004947,Office Supplies,Paper,Easy-staple paper,17.12,4,0,7.704
8689,CA-2019-144015,26/06/19,26/06/19,Same Day,AH-10075,Adam Hart,Corporate,Los Angeles,California,West,OFF-PA-10002870,Office Supplies,Paper,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",12.48,2,0,5.616
8811,CA-2020-120614,30/05/20,04/06/20,Standard Class,SM-20950,Suzanne McNair,Corporate,Los Angeles,California,West,OFF-PA-10004911,Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",37.52,4,0,18.0096
8880,US-2018-107944,23/03/18,25/03/18,First Class,AM-10360,Alice McCarthy,Corporate,Los Angeles,California,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",192.72,11,0,92.5056
8898,CA-2019-167241,15/08/19,22/08/19,Standard Class,BD-11320,Bill Donatelli,Consumer,Los Angeles,California,West,OFF-PA-10004911,Office Supplies,Paper,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",37.52,4,0,18.0096
9051,CA-2018-165554,18/05/18,22/05/18,Standard Class,AJ-10780,Anthony Jacobs,Corporate,Los Angeles,California,West,OFF-PA-10003724,Office Supplies,Paper,"Wirebound Message Book, 4 per Page",10.86,2,0,5.3214
9121,US-2019-155971,06/06/19,12/06/19,Standard Class,RB-19795,Ross Baird,Home Office,Los Angeles,California,West,OFF-PA-10000210,Office Supplies,Paper,Xerox Blank Computer Paper,99.9,5,0,46.953
9216,CA-2019-152646,21/11/19,26/11/19,Standard Class,TH-21235,Tiffany House,Corporate,Los Angeles,California,West,OFF-PA-10004451,Office Supplies,Paper,Xerox 222,32.4,5,0,15.552
9231,CA-2020-133718,23/07/20,26/07/20,First Class,TB-21520,Tracy Blumstein,Consumer,Los Angeles,California,West,OFF-PA-10002689,Office Supplies,Paper,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),58.32,9,0,27.9936
9324,CA-2020-121853,23/09/20,29/09/20,Standard Class,DB-13660,Duane Benoit,Consumer,Los Angeles,California,West,OFF-PA-10003641,Office Supplies,Paper,Xerox 1909,211.04,8,0,97.0784
9565,CA-2018-161242,01/06/18,08/06/18,Standard Class,CG-12040,Catherine Glotzbach,Home Office,Los Angeles,California,West,OFF-PA-10001838,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11.76,2,0,5.7624
9639,US-2020-125808,12/11/20,15/11/20,Second Class,EP-13915,Emily Phan,Consumer,Los Angeles,California,West,OFF-PA-10001846,Office Supplies,Paper,Xerox 1899,11.56,2,0,5.6644
9954,CA-2018-141593,14/12/18,16/12/18,Second Class,DB-12970,Darren Budd,Corporate,Los Angeles,California,West,OFF-PA-10004983,Office Supplies,Paper,Xerox 23,6.48,1,0,3.1104
9976,US-2019-103674,06/12/19,10/12/19,Standard Class,AP-10720,Anne Pryor,Home Office,Los Angeles,California,West,OFF-PA-10000743,Office Supplies,Paper,Xerox 1977,13.36,2,0,6.4128
3,CA-2019-138688,12/06/19,16/06/19,Second Class,DV-13045,Darrin Van Huff,Corporate,Los Angeles,California,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
43,CA-2019-101343,17/07/19,22/07/19,Standard Class,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
90,CA-2019-109806,17/09/19,22/09/19,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
218,CA-2019-130162,28/10/19,01/11/19,Standard Class,JH-15910,Jonathan Howell,Consumer,Los Angeles,California,West,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",93.06,6,0,26.0568
420,CA-2020-110478,04/03/20,09/03/20,Standard Class,SP-20860,Sung Pak,Corporate,Los Angeles,California,West,OFF-AR-10001573,Office Supplies,Art,American Pencil,9.32,4,0,2.7028
421,CA-2020-110478,04/03/20,09/03/20,Standard Class,SP-20860,Sung Pak,Corporate,Los Angeles,California,West,OFF-EN-10000483,Office Supplies,Envelopes,"White Envelopes, White Envelopes with Clear Poly Window",15.25,1,0,7.015
485,CA-2020-140963,10/06/20,13/06/20,First Class,MT-18070,Michelle Tran,Home Office,Los Angeles,California,West,OFF-LA-10003923,Office Supplies,Labels,Alphabetical Labels for Top Tab Filing,29.6,2,0,14.8
514,CA-2020-163405,21/12/20,25/12/20,Standard Class,BN-11515,Bradley Nguyen,Consumer,Los Angeles,California,West,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,3,0,1.7901
515,CA-2020-163405,21/12/20,25/12/20,Standard Class,BN-11515,Bradley Nguyen,Consumer,Los Angeles,California,West,OFF-AR-10001246,Office Supplies,Art,Newell 317,5.88,2,0,1.7052
557,CA-2019-113243,10/06/19,15/06/19,Standard Class,OT-18730,Olvera Toch,Consumer,Los Angeles,California,West,OFF-LA-10001297,Office Supplies,Labels,Avery 473,20.7,2,0,9.936
581,CA-2018-132906,10/09/18,14/09/18,Standard Class,CC-12145,Charles Crestani,Consumer,Los Angeles,California,West,OFF-SU-10004498,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,51.52,4,0,1.5456
845,CA-2019-161669,07/11/19,09/11/19,First Class,EM-14095,Eudokia Martin,Corporate,Los Angeles,California,West,OFF-SU-10002503,Office Supplies,Supplies,Acme Preferred Stainless Steel Scissors,11.36,2,0,3.2944
846,CA-2019-161669,07/11/19,09/11/19,First Class,EM-14095,Eudokia Martin,Corporate,Los Angeles,California,West,OFF-LA-10004093,Office Supplies,Labels,Avery 486,14.62,2,0,6.8714
905,CA-2019-130477,08/04/19,12/04/19,Standard Class,LC-17140,Logan Currie,Consumer,Los Angeles,California,West,OFF-ST-10002583,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,0,2.5984
1071,CA-2018-144652,20/11/18,26/11/18,Standard Class,SN-20560,Skye Norling,Home Office,Los Angeles,California,West,OFF-AR-10003732,Office Supplies,Art,Newell 333,19.46,7,0,5.0596
1189,CA-2020-117212,26/02/20,28/02/20,Second Class,BT-11530,Bradley Talbott,Home Office,Los Angeles,California,West,OFF-AP-10004532,Office Supplies,Appliances,Kensington 6 Outlet Guardian Standard Surge Protector,81.92,4,0,22.1184
1229,CA-2020-100013,06/11/20,11/11/20,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,Los Angeles,California,West,OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",15.28,2,0,7.4872
1231,CA-2020-100013,06/11/20,11/11/20,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,Los Angeles,California,West,OFF-AR-10001022,Office Supplies,Art,SANFORD Liquid Accent Tank-Style Highlighters,5.68,2,0,1.7608
1317,CA-2019-145919,18/12/19,23/12/19,Standard Class,HG-14965,Henry Goldwyn,Corporate,Los Angeles,California,West,OFF-SU-10003505,Office Supplies,Supplies,Premier Electric Letter Opener,579.3,5,0,28.965
1473,CA-2020-164959,11/07/20,15/07/20,Standard Class,KN-16390,Katherine Nockton,Corporate,Los Angeles,California,West,OFF-LA-10004272,Office Supplies,Labels,Avery 482,8.67,3,0,4.0749
1505,CA-2018-153388,01/08/18,07/08/18,Standard Class,PC-19000,Pauline Chand,Home Office,Los Angeles,California,West,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,6.72,4,0,3.36
1606,US-2019-115819,19/04/19,24/04/19,Second Class,JO-15280,Jas O'Carroll,Consumer,Los Angeles,California,West,OFF-AR-10000823,Office Supplies,Art,Newell 307,5.46,3,0,1.5288
1607,US-2019-115819,19/04/19,24/04/19,Second Class,JO-15280,Jas O'Carroll,Consumer,Los Angeles,California,West,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,73.2,5,0,21.228
1698,CA-2018-148376,27/12/18,31/12/18,Standard Class,AG-10900,Arthur Gainer,Consumer,Los Angeles,California,West,OFF-AP-10000240,Office Supplies,Appliances,Belkin F9G930V10-GRY 9 Outlet Surge,106.96,2,0,31.0184
1699,CA-2018-148376,27/12/18,31/12/18,Standard Class,AG-10900,Arthur Gainer,Consumer,Los Angeles,California,West,OFF-LA-10002381,Office Supplies,Labels,Avery 497,21.56,7,0,10.3488
